Consumer;Session;Rank;Product;Base;Dose;Light_dark;Intensity;Sweet;Acidity;Bitterness;Fluid_thick;Liking;Typicity
J13;S2;7;431;apple;10;JAR;n.e.intense;JAR;n.e.acid;JAR;JAR;3;4
J13;S1;5;518;pineapple;10;r.t.dark;n.e.intense;t.sweet;JAR;JAR;JAR;8;6
J13;S2;1;518;pineapple;10;t.dark;JAR;JAR;JAR;JAR;t.thick;8;9
J13;S1;3;694;orange;10;JAR;n.e.intense;JAR;JAR;JAR;JAR;7;7
J13;S2;2;694;orange;10;t.dark;n.e.intense;t.sweet;JAR;JAR;JAR;6;4
J13;S1;9;759;apple;20;t.dark;t.intense;t.sweet;JAR;JAR;t.thick;2;3
J13;S2;5;759;apple;20;t.dark;JAR;JAR;JAR;JAR;t.thick;1;3
J13;S1;6;876;pineapple;20;t.dark;JAR;JAR;JAR;JAR;JAR;4;8
J13;S2;9;876;pineapple;20;t.dark;JAR;JAR;JAR;JAR;JAR;9;9
J13;S1;2;983;orange;20;t.dark;n.e.intense;JAR;JAR;JAR;t.thick;4;3
J13;S2;6;983;orange;20;JAR;JAR;t.sweet;JAR;JAR;JAR;7;7
J14;S1;5;127;apple;0;r.t.light;JAR;t.sweet;JAR;JAR;t.fluid;5;5
J14;S2;1;127;apple;0;r.t.light;JAR;JAR;n.e.acid;JAR;t.fluid;7;9
J14;S1;1;245;pineapple;0;t.light;JAR;JAR;JAR;JAR;JAR;8;8
J14;S2;4;245;pineapple;0;r.t.light;n.e.intense;JAR;JAR;JAR;t.fluid;4;1
J14;S1;8;362;orange;0;r.t.light;n.e.intense;n.e.sweet;t.acid;JAR;JAR;1;0
J14;S2;7;362;orange;0;t.light;JAR;JAR;JAR;JAR;t.fluid;5;2
J14;S1;4;431;apple;10;r.t.dark;JAR;r.t.sweet;n.e.acid;JAR;JAR;2;5
J14;S2;8;431;apple;10;t.dark;t.intense;r.t.sweet;n.e.acid;JAR;JAR;6;7
J14;S1;9;518;pineapple;10;JAR;t.intense;JAR;JAR;JAR;JAR;7;9
J14;S2;5;518;pineapple;10;JAR;JAR;t.sweet;n.e.acid;JAR;JAR;8;8
J14;S1;7;694;orange;10;JAR;JAR;JAR;JAR;JAR;JAR;1;0
J14;S2;3;694;orange;10;JAR;r.n.e.intense;JAR;JAR;JAR;JAR;8;8
J14;S1;6;759;apple;20;t.dark;n.e.intense;t.sweet;n.e.acid;JAR;JAR;7;8
J14;S2;9;759;apple;20;t.dark;JAR;t.sweet;n.e.acid;JAR;JAR;7;10
J14;S1;2;876;pineapple;20;r.t.dark;n.e.intense;t.sweet;JAR;JAR;JAR;6;6
J14;S2;6;876;pineapple;20;t.dark;n.e.intense;JAR;t.acid;JAR;JAR;5;6
J14;S1;3;983;orange;20;t.dark;JAR;n.e.sweet;t.acid;JAR;t.fluid;4;2
J14;S2;2;983;orange;20;t.dark;n.e.intense;JAR;JAR;JAR;JAR;7;6
J15;S1;8;127;apple;0;r.t.light;r.t.intense;r.t.sweet;r.t.acid;JAR;r.t.fluid;0;2
J15;S2;5;127;apple;0;r.t.light;JAR;r.t.sweet;JAR;JAR;t.fluid;0;3
J15;S1;7;245;pineapple;0;r.t.light;JAR;t.sweet;n.e.acid;JAR;JAR;8;1
J15;S2;1;245;pineapple;0;JAR;JAR;JAR;JAR;JAR;t.fluid;9;9
J15;S1;2;362;orange;0;t.light;JAR;t.sweet;t.acid;JAR;t.fluid;5;10
J15;S2;8;362;orange;0;JAR;n.e.intense;JAR;JAR;JAR;JAR;8;10
J15;S1;3;431;apple;10;t.light;t.intense;r.t.sweet;t.acid;JAR;t.fluid;2;5
J15;S2;4;431;apple;10;JAR;t.intense;r.t.sweet;t.acid;JAR;JAR;0;0
J15;S1;4;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;JAR;10;10
J15;S2;9;518;pineapple;10;t.dark;t.intense;t.sweet;t.acid;t.bitter;t.fluid;3;5
J15;S1;6;694;orange;10;t.light;n.e.intense;t.sweet;t.acid;JAR;JAR;3;8
J15;S2;7;694;orange;10;JAR;JAR;JAR;JAR;JAR;JAR;7;8
J15;S1;1;759;apple;20;t.dark;t.intense;r.t.sweet;JAR;JAR;t.fluid;4;2
J15;S2;6;759;apple;20;t.dark;JAR;r.t.sweet;t.acid;JAR;t.fluid;2;3
J15;S1;5;876;pineapple;20;JAR;JAR;JAR;JAR;JAR;JAR;10;10
J15;S2;2;876;pineapple;20;t.dark;t.intense;JAR;t.acid;JAR;JAR;1;1
J15;S1;9;983;orange;20;t.dark;n.e.intense;t.sweet;t.acid;r.t.bitter;JAR;0;2
J15;S2;3;983;orange;20;t.dark;JAR;JAR;JAR;JAR;t.fluid;3;3
J16;S1;9;127;apple;0;r.t.light;t.intense;t.sweet;t.acid;JAR;r.t.fluid;1;0
J16;S2;8;127;apple;0;r.t.light;t.intense;n.e.sweet;t.acid;JAR;r.t.fluid;0;1
J16;S1;5;245;pineapple;0;r.t.light;JAR;JAR;JAR;JAR;JAR;9;9
J16;S2;7;245;pineapple;0;r.t.light;JAR;JAR;JAR;t.bitter;JAR;9;10
J16;S1;4;362;orange;0;r.t.light;n.e.intense;JAR;t.acid;t.bitter;t.fluid;4;2
J16;S2;2;362;orange;0;t.light;JAR;JAR;JAR;JAR;t.fluid;6;4
J16;S1;1;431;apple;10;JAR;n.e.intense;JAR;t.acid;JAR;t.fluid;3;4
J16;S2;3;431;apple;10;JAR;t.intense;JAR;t.acid;t.bitter;JAR;1;2
J16;S1;6;518;pineapple;10;JAR;JAR;t.sweet;JAR;t.bitter;JAR;8;7
J16;S2;4;518;pineapple;10;t.light;JAR;JAR;JAR;t.bitter;JAR;9;10
J16;S1;8;694;orange;10;t.light;n.e.intense;n.e.sweet;JAR;t.bitter;JAR;2;2
J16;S2;6;694;orange;10;t.light;n.e.intense;n.e.sweet;r.t.acid;JAR;t.fluid;2;3
J16;S1;2;759;apple;20;JAR;JAR;JAR;JAR;JAR;JAR;4;4
J16;S2;1;759;apple;20;t.dark;t.intense;t.sweet;JAR;JAR;t.fluid;4;3
J16;S1;3;876;pineapple;20;t.light;JAR;t.sweet;JAR;JAR;JAR;9;7
J16;S2;5;876;pineapple;20;JAR;JAR;JAR;JAR;JAR;t.fluid;9;10
J16;S1;7;983;orange;20;JAR;r.n.e.intense;n.e.sweet;t.acid;t.bitter;JAR;1;2
J16;S2;9;983;orange;20;t.dark;n.e.intense;JAR;t.acid;r.t.bitter;t.fluid;3;8
J17;S1;2;127;apple;0;r.t.light;n.e.intense;r.t.sweet;n.e.acid;JAR;r.t.fluid;4;4
J17;S2;9;127;apple;0;r.t.light;n.e.intense;r.t.sweet;JAR;JAR;r.t.fluid;3;3
J17;S1;6;245;pineapple;0;t.light;JAR;JAR;JAR;JAR;t.fluid;10;10
J17;S2;5;245;pineapple;0;t.light;JAR;JAR;JAR;JAR;JAR;9;9
J17;S1;5;362;orange;0;t.light;n.e.intense;JAR;JAR;JAR;t.fluid;9;8
J17;S2;4;362;orange;0;t.light;JAR;t.sweet;JAR;JAR;t.fluid;7;7
J17;S1;9;431;apple;10;t.light;t.intense;r.t.sweet;t.acid;JAR;t.fluid;3;3
J17;S2;1;431;apple;10;t.light;t.intense;t.sweet;JAR;JAR;t.fluid;5;4
J17;S1;3;518;pineapple;10;JAR;JAR;JAR;JAR;t.bitter;t.thick;8;9
J17;S2;6;518;pineapple;10;JAR;n.e.intense;JAR;n.e.acid;t.bitter;t.thick;5;4
J17;S1;1;694;orange;10;JAR;t.intense;t.sweet;JAR;JAR;t.fluid;7;7
J17;S2;8;694;orange;10;JAR;n.e.intense;t.sweet;t.acid;JAR;t.fluid;6;5
J17;S1;7;759;apple;20;t.dark;t.intense;r.t.sweet;JAR;t.bitter;JAR;5;5
J17;S2;2;759;apple;20;JAR;n.e.intense;t.sweet;n.e.acid;t.bitter;t.fluid;4;5
J17;S1;8;876;pineapple;20;JAR;JAR;t.sweet;t.acid;t.bitter;JAR;3;4
J17;S2;3;876;pineapple;20;JAR;JAR;JAR;JAR;t.bitter;JAR;8;7
J17;S1;4;983;orange;20;JAR;n.e.intense;JAR;JAR;JAR;t.fluid;6;6
J17;S2;7;983;orange;20;JAR;JAR;JAR;JAR;JAR;t.thick;9;9
J18;S1;6;127;apple;0;r.t.light;JAR;r.t.sweet;n.e.acid;n.e.bitter;r.t.fluid;7;3
J18;S2;2;127;apple;0;t.light;n.e.intense;r.t.sweet;n.e.acid;JAR;JAR;6;4
J18;S1;9;245;pineapple;0;JAR;JAR;JAR;JAR;JAR;JAR;9;9
J18;S2;6;245;pineapple;0;JAR;JAR;JAR;JAR;JAR;JAR;9;9
J18;S1;1;362;orange;0;JAR;t.intense;JAR;t.acid;JAR;JAR;7;9
J18;S2;5;362;orange;0;JAR;r.n.e.intense;JAR;n.e.acid;n.e.bitter;JAR;7;4
J18;S1;5;431;apple;10;t.light;JAR;t.sweet;n.e.acid;JAR;r.t.fluid;3;5
J18;S2;9;431;apple;10;JAR;JAR;r.t.sweet;n.e.acid;JAR;t.fluid;6;3
J18;S1;2;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;JAR;10;10
J18;S2;3;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;JAR;9;9
J18;S1;4;694;orange;10;JAR;JAR;JAR;JAR;t.bitter;JAR;9;9
J18;S2;1;694;orange;10;t.dark;JAR;JAR;JAR;JAR;JAR;8;8
J18;S1;3;759;apple;20;t.light;r.n.e.intense;t.sweet;JAR;JAR;t.fluid;1;5
J18;S2;7;759;apple;20;JAR;JAR;r.t.sweet;n.e.acid;JAR;JAR;8;6
J18;S1;7;876;pineapple;20;JAR;JAR;JAR;JAR;JAR;JAR;9;9
J18;S2;8;876;pineapple;20;JAR;JAR;JAR;JAR;JAR;JAR;9;8
J18;S1;8;983;orange;20;JAR;n.e.intense;n.e.sweet;JAR;JAR;JAR;7;9
J18;S2;4;983;orange;20;JAR;JAR;JAR;t.acid;JAR;JAR;8;8
J19;S1;5;127;apple;0;t.dark;t.intense;r.t.sweet;n.e.acid;n.e.bitter;r.t.fluid;1;5
J19;S2;6;127;apple;0;t.dark;JAR;t.sweet;n.e.acid;JAR;r.t.fluid;3;3
J19;S1;8;245;pineapple;0;r.t.light;n.e.intense;n.e.sweet;n.e.acid;n.e.bitter;r.t.fluid;2;2
J19;S2;9;245;pineapple;0;t.light;JAR;JAR;JAR;JAR;t.fluid;5;5
J19;S1;4;362;orange;0;r.t.light;n.e.intense;JAR;JAR;n.e.bitter;t.fluid;6;4
J19;S2;1;362;orange;0;JAR;JAR;JAR;JAR;JAR;JAR;6;6
J19;S1;9;431;apple;10;t.dark;t.intense;t.sweet;JAR;JAR;JAR;5;8
J19;S2;5;431;apple;10;r.t.dark;JAR;n.e.sweet;t.acid;JAR;JAR;5;5
J19;S1;7;518;pineapple;10;t.dark;JAR;n.e.sweet;n.e.acid;JAR;JAR;7;6
J19;S2;2;518;pineapple;10;t.dark;JAR;JAR;t.acid;JAR;JAR;4;5
J19;S1;3;694;orange;10;JAR;n.e.intense;JAR;JAR;JAR;r.t.fluid;1;3
J19;S2;4;694;orange;10;JAR;JAR;JAR;t.acid;JAR;t.fluid;3;3
J19;S1;1;759;apple;20;t.dark;t.intense;t.sweet;JAR;JAR;JAR;4;4
J19;S2;3;759;apple;20;r.t.dark;t.intense;t.sweet;n.e.acid;JAR;JAR;3;3
J19;S1;2;876;pineapple;20;t.dark;JAR;JAR;JAR;JAR;r.t.fluid;5;3
J19;S2;7;876;pineapple;20;r.t.dark;JAR;JAR;JAR;JAR;JAR;5;5
J19;S1;6;983;orange;20;r.t.dark;n.e.intense;n.e.sweet;n.e.acid;n.e.bitter;JAR;3;5
J19;S2;8;983;orange;20;t.dark;JAR;JAR;JAR;JAR;JAR;6;6
J2;S1;9;127;apple;0;r.t.light;n.e.intense;r.t.sweet;JAR;JAR;t.fluid;5;5
J2;S2;6;127;apple;0;r.t.light;t.intense;r.t.sweet;JAR;JAR;t.fluid;3;5
J2;S1;6;245;pineapple;0;t.light;r.n.e.intense;t.sweet;JAR;JAR;JAR;6;6
J2;S2;2;245;pineapple;0;JAR;JAR;JAR;JAR;JAR;JAR;4;6
J2;S1;3;362;orange;0;JAR;JAR;JAR;JAR;JAR;JAR;6;4
J2;S2;7;362;orange;0;JAR;n.e.intense;t.sweet;JAR;JAR;JAR;6;4
J2;S1;2;431;apple;10;t.dark;n.e.intense;r.t.sweet;JAR;JAR;JAR;7;7
J2;S2;3;431;apple;10;t.dark;JAR;JAR;JAR;JAR;JAR;5;8
J2;S1;5;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;JAR;8;8
J2;S2;9;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;t.thick;8;8
J2;S1;7;694;orange;10;JAR;n.e.intense;r.t.sweet;JAR;JAR;t.thick;6;6
J2;S2;8;694;orange;10;JAR;n.e.intense;t.sweet;JAR;JAR;JAR;7;7
J2;S1;1;759;apple;20;t.dark;JAR;r.t.sweet;JAR;JAR;JAR;6;7
J2;S2;5;759;apple;20;t.dark;t.intense;t.sweet;JAR;JAR;r.t.thick;3;7
J2;S1;4;876;pineapple;20;t.dark;JAR;JAR;JAR;JAR;JAR;5;7
J2;S2;1;876;pineapple;20;t.dark;JAR;JAR;JAR;JAR;t.thick;6;7
J2;S1;8;983;orange;20;t.dark;n.e.intense;t.sweet;JAR;JAR;t.thick;6;7
J2;S2;4;983;orange;20;t.dark;n.e.intense;JAR;JAR;JAR;t.thick;4;6
J20;S1;1;127;apple;0;t.light;JAR;r.t.sweet;JAR;JAR;t.fluid;1;5
J20;S2;5;127;apple;0;r.t.light;n.e.intense;r.t.sweet;r.t.acid;JAR;r.t.fluid;1;2
J20;S1;7;245;pineapple;0;r.t.light;n.e.intense;JAR;JAR;JAR;t.fluid;7;6
J20;S2;8;245;pineapple;0;r.t.light;JAR;JAR;JAR;JAR;t.fluid;7;6
J20;S1;8;362;orange;0;t.light;n.e.intense;t.sweet;JAR;t.bitter;JAR;5;4
J20;S2;4;362;orange;0;t.light;r.n.e.intense;JAR;t.acid;JAR;r.t.fluid;5;4
J20;S1;5;431;apple;10;t.dark;JAR;r.t.sweet;n.e.acid;JAR;t.thick;2;3
J20;S2;9;431;apple;10;t.dark;n.e.intense;t.sweet;JAR;JAR;JAR;5;6
J20;S1;3;518;pineapple;10;JAR;JAR;t.sweet;JAR;JAR;JAR;10;10
J20;S2;7;518;pineapple;10;JAR;JAR;JAR;JAR;JAR;JAR;9;9
J20;S1;2;694;orange;10;JAR;JAR;JAR;JAR;JAR;JAR;9;9
J20;S2;3;694;orange;10;t.light;JAR;t.sweet;n.e.acid;n.e.bitter;t.fluid;1;2
J20;S1;4;759;apple;20;t.dark;n.e.intense;t.sweet;n.e.acid;JAR;JAR;2;3
J20;S2;1;759;apple;20;t.dark;JAR;JAR;n.e.acid;t.bitter;JAR;6;5
J20;S1;6;876;pineapple;20;JAR;JAR;JAR;JAR;JAR;JAR;9;8
J20;S2;2;876;pineapple;20;JAR;JAR;JAR;JAR;JAR;JAR;8;8
J20;S1;9;983;orange;20;JAR;n.e.intense;t.sweet;n.e.acid;t.bitter;JAR;8;7
J20;S2;6;983;orange;20;JAR;JAR;t.sweet;JAR;r.t.bitter;JAR;5;6
J22;S1;2;127;apple;0;r.t.light;r.n.e.intense;r.t.sweet;r.n.e.acid;r.n.e.bitter;t.thick;8;4
J22;S2;9;127;apple;0;r.t.dark;n.e.intense;t.sweet;JAR;JAR;t.fluid;7;7
J22;S1;5;245;pineapple;0;t.light;JAR;t.sweet;n.e.acid;n.e.bitter;t.thick;3;5
J22;S2;4;245;pineapple;0;t.light;n.e.intense;JAR;n.e.acid;JAR;JAR;2;2
J22;S1;9;362;orange;0;JAR;n.e.intense;JAR;n.e.acid;JAR;JAR;9;10
J22;S2;1;362;orange;0;JAR;n.e.intense;JAR;JAR;JAR;JAR;4;6
J22;S1;3;431;apple;10;t.dark;r.n.e.intense;n.e.sweet;n.e.acid;r.n.e.bitter;t.thick;6;7
J22;S2;6;431;apple;10;t.dark;n.e.intense;r.t.sweet;JAR;JAR;t.thick;6;6
J22;S1;1;518;pineapple;10;t.dark;JAR;t.sweet;JAR;JAR;t.thick;4;9
J22;S2;8;518;pineapple;10;t.dark;JAR;t.sweet;JAR;JAR;t.thick;0;2
J22;S1;4;694;orange;10;JAR;n.e.intense;JAR;n.e.acid;n.e.bitter;JAR;9;9
J22;S2;7;694;orange;10;JAR;n.e.intense;JAR;JAR;JAR;JAR;9;9
J22;S1;6;759;apple;20;t.dark;n.e.intense;r.t.sweet;r.n.e.acid;n.e.bitter;t.thick;4;6
J22;S2;5;759;apple;20;t.dark;JAR;t.sweet;JAR;JAR;t.thick;7;8
J22;S1;8;876;pineapple;20;t.dark;n.e.intense;t.sweet;JAR;t.bitter;t.thick;1;4
J22;S2;3;876;pineapple;20;t.dark;JAR;JAR;JAR;JAR;t.thick;2;4
J22;S1;7;983;orange;20;t.dark;n.e.intense;t.sweet;JAR;JAR;JAR;5;8
J22;S2;2;983;orange;20;r.t.dark;r.n.e.intense;n.e.sweet;JAR;JAR;t.thick;1;2
J23;S1;8;127;apple;0;r.t.light;n.e.intense;r.t.sweet;JAR;n.e.bitter;r.t.fluid;0;2
J23;S2;2;127;apple;0;r.t.light;t.intense;r.t.sweet;n.e.acid;n.e.bitter;r.t.fluid;1;0
J23;S1;2;245;pineapple;0;r.t.light;JAR;t.sweet;n.e.acid;JAR;JAR;9;8
J23;S2;5;245;pineapple;0;JAR;JAR;t.sweet;JAR;JAR;JAR;7;8
J23;S1;3;362;orange;0;t.light;n.e.intense;r.t.sweet;t.acid;JAR;t.fluid;1;3
J23;S2;9;362;orange;0;t.light;JAR;t.sweet;JAR;JAR;t.fluid;2;2
J23;S1;4;431;apple;10;r.t.light;JAR;r.t.sweet;n.e.acid;JAR;r.t.fluid;1;2
J23;S2;3;431;apple;10;t.dark;JAR;r.t.sweet;n.e.acid;JAR;JAR;3;6
J23;S1;6;518;pineapple;10;JAR;n.e.intense;t.sweet;JAR;n.e.bitter;JAR;6;4
J23;S2;1;518;pineapple;10;JAR;n.e.intense;JAR;JAR;n.e.bitter;JAR;9;7
J23;S1;9;694;orange;10;JAR;JAR;r.t.sweet;n.e.acid;JAR;JAR;3;5
J23;S2;4;694;orange;10;JAR;JAR;JAR;JAR;t.bitter;JAR;8;7
J23;S1;7;759;apple;20;t.dark;t.intense;r.t.sweet;r.n.e.acid;n.e.bitter;JAR;1;3
J23;S2;6;759;apple;20;r.t.dark;n.e.intense;r.t.sweet;n.e.acid;n.e.bitter;JAR;0;3
J23;S1;5;876;pineapple;20;t.dark;JAR;t.sweet;n.e.acid;JAR;t.fluid;5;7
J23;S2;8;876;pineapple;20;t.dark;JAR;JAR;JAR;JAR;JAR;6;5
J23;S1;1;983;orange;20;t.dark;t.intense;JAR;JAR;t.bitter;JAR;6;4
J23;S2;7;983;orange;20;t.dark;n.e.intense;JAR;t.acid;t.bitter;t.fluid;2;3
J24;S1;4;127;apple;0;t.dark;n.e.intense;r.t.sweet;r.n.e.acid;r.n.e.bitter;t.fluid;1;1
J24;S2;8;127;apple;0;r.t.light;t.intense;r.t.sweet;r.n.e.acid;r.n.e.bitter;r.t.fluid;0;2
J24;S1;3;245;pineapple;0;r.t.light;r.n.e.intense;n.e.sweet;t.acid;t.bitter;t.fluid;3;3
J24;S2;2;245;pineapple;0;t.light;n.e.intense;t.sweet;n.e.acid;n.e.bitter;JAR;2;4
J24;S1;7;362;orange;0;t.light;r.n.e.intense;t.sweet;JAR;JAR;JAR;7;5
